专业,学制,学年,学期,课程名称,课程性质,教材名称,主编,版次,出版社,出版年,ISBN,数据状态,数据来源
动物医学,5年,大一,第1学期,动物解剖学,专业基础必修课,动物解剖学（第4版）,彭克美,第4版,高等教育出版社,2024,9787040613728,已核验,高教社官网/MOOC
动物医学,5年,大一,第1学期,思想道德与法治,思想政治必修课,思想道德与法治（2023年版）,本书编写组,2023年版,高等教育出版社,2023,,待脚本补全ISBN,马工程教材
动物医学,5年,大一,第1学期,高等数学,公共必修课,高等数学（农科类 第七版）,同济大学数学系,第7版,高等教育出版社,2019,,待核验,培养方案
动物医学,5年,大一,第1学期,无机及分析化学,公共必修课,无机及分析化学（第3版）,南京大学《无机及分析化学》编写组,第3版,高等教育出版社,2021,,待脚本补全ISBN,公共课
动物医学,5年,大一,第1学期,大学英语,公共必修课,新视野大学英语（第三版）,郑树棠,第3版,外语教学与研究出版社,2015,,待脚本补全ISBN,公共课
动物医学,5年,大一,第2学期,动物组织学与胚胎学,专业基础必修课,动物组织学及胚胎学（第4版）,彭克美,第4版,高等教育出版社,2021,,待脚本补全ISBN,教学大纲
动物医学,5年,大一,第2学期,有机化学,公共必修课,有机化学（农科 第3版）,汪小兰,第3版,高等教育出版社,2017,,待脚本补全ISBN,公共课
动物医学,5年,大一,第2学期,中国近现代史纲要,思想政治必修课,中国近现代史纲要（2023年版）,本书编写组,2023年版,高等教育出版社,2023,,待脚本补全ISBN,马工程教材
动物医学,5年,大一,第2学期,动物学,专业基础必修课,动物学（第2版）,陈品红 主编,第2版,高等教育出版社,2021,,待脚本补全ISBN,培养方案
动物医学,5年,大二,第3学期,动物生理学,专业基础必修课,动物生理学（第4版）,杨秀平 等,第4版,高等教育出版社,2021,,待脚本补全ISBN,教学大纲
动物医学,5年,大二,第3学期,动物生物化学,专业基础必修课,动物生物化学（第6版）,李庆章 主编,第6版,中国农业出版社,2021,,待脚本补全ISBN,教学大纲
动物医学,5年,大二,第3学期,兽医微生物学,专业基础必修课,兽医微生物学（第6版）,陆承平 主编,第6版,中国农业出版社,2021,9787109284432,已核验,教学大纲/锦州医大教材表
动物医学,5年,大二,第3学期,马克思主义基本原理,思想政治必修课,马克思主义基本原理（2023年版）,本书编写组,2023年版,高等教育出版社,2023,,待脚本补全ISBN,马工程教材
动物医学,5年,大二,第4学期,兽医免疫学,专业基础必修课,兽医免疫学（第3版）,崔治中 主编,第3版,中国农业出版社,2019,,待脚本补全ISBN,教学大纲
动物医学,5年,大二,第4学期,兽医药理学,专业基础必修课,兽医药理学（第4版）,陈杖榴 曾振灵,第4版,中国农业出版社,2017,9787109227118,已核验,中国农业出版社官网
