学院,专业代码,专业名称,学位,学制
植物科学技术学院,090101,农学,农学,四年
植物科学技术学院,090103,植物保护,农学,四年
植物科学技术学院,090104,植物科学与技术,农学,四年
植物科学技术学院,090105,种子科学与工程,农学,四年
植物科学技术学院,090109T,应用生物科学,农学,四年
植物科学技术学院,090112T,智慧农业,农学,四年
植物科学技术学院,090116TK,生物育种科学,理学,四年
动物科学技术学院 动物医学院,090301,动物科学,农学,四年
动物科学技术学院 动物医学院,090401,动物医学,农学,五年
动物科学技术学院 动物医学院,090406TK,兽医公共卫生,农学,五年
资源与环境学院,070504,地理信息科学,理学,四年
资源与环境学院,071004,生态学,理学,四年
资源与环境学院,082502,环境工程,工学,四年
资源与环境学院,082503,环境科学,理学,四年
资源与环境学院,082504,环境生态工程,工学,四年
资源与环境学院,090201,农业资源与环境,农学,四年
生命科学技术学院,071001,生物科学,理学,四年
生命科学技术学院,071002,生物技术,理学,四年
生命科学技术学院,083001,生物工程,工学,四年
生命科学技术学院,083003T,合成生物学,工学,四年
生命科学技术学院,100103T,生物医学科学,理学,四年
园艺林学学院,082803,风景园林,工学,四年
园艺林学学院,090102,园艺,农学,四年
园艺林学学院,090106,设施农业科学与工程,农学,四年
园艺林学学院,090107T,茶学,农学,四年
园艺林学学院,090501,林学,农学,四年
园艺林学学院,090502,园林,农学,四年
经济管理学院,020101,经济学,经济学,四年
经济管理学院,020102,经济统计学,经济学,四年
经济管理学院,020401,国际经济与贸易,经济学,四年
经济管理学院,120201K,工商管理,管理学,四年
经济管理学院,120202,市场营销,管理学,四年
经济管理学院,120203K,会计学,管理学,四年
经济管理学院,120204,财务管理,管理学,四年
经济管理学院,120206,人力资源管理,管理学,四年
经济管理学院,120301,农林经济管理,管理学,四年
经济管理学院,120302,农村区域发展,管理学,四年
经济管理学院,120108T,大数据管理与应用,管理学,四年
工学院,080202,机械设计制造及其自动化,工学,四年
工学院,080204,机械电子工程,工学,四年
工学院,080501,能源与动力工程,工学,四年
工学院,080801,自动化,工学,四年
工学院,080803T,机器人工程,工学,四年
工学院,082302,农业机械化及其自动化,工学,四年
工学院,080705,光电信息科学与工程,工学,四年
水产学院,090601,水产养殖学,农学,四年
水产学院,090603T,水族科学与技术,农学,四年
食品科学技术学院,082701,食品科学与工程,工学,四年
食品科学技术学院,082702,食品质量与安全,工学,四年
食品科学技术学院,082710T,食品营养与健康,工学,四年
化学学院,070302,应用化学,理学,四年
文法学院,030101K,法学,法学,四年
文法学院,030301,社会学,法学,四年
文法学院,030302,社会工作,法学,四年
文法学院,050303,广告学,文学,四年
文法学院,130502,视觉传达设计,艺术学,四年
文法学院,130508,数字媒体艺术,艺术学,四年
外国语学院,050201,英语,文学,四年
外国语学院,050262,商务英语,文学,四年
公共管理学院,120102,信息管理与信息系统,管理学,四年
公共管理学院,120103,工程管理,管理学,四年
公共管理学院,120402,行政管理,管理学,四年
公共管理学院,120404,土地资源管理,管理学,四年
信息学院,071003,生物信息学,理学,四年
信息学院,070102,信息与计算科学,理学,四年
信息学院,080717T,人工智能,工学,四年
信息学院,080901,计算机科学与技术,工学,四年
信息学院,080910T,数据科学与大数据技术,工学,四年
华中农业大学林肯大学联合学院,120301H,农林经济管理（中外合作办学）,管理学,四年
华中农业大学林肯大学联合学院,071004H,生态学（中外合作办学）,理学,四年
华中农业大学林肯大学联合学院,090102H,园艺（中外合作办学）,农学,四年
