学院,专业,学期,课程代码,课程名称,学分,课程性质,教材名称,主编,版次,出版社,ISBN,匹配状态
化学学院,应用化学,第1学期,314300001006,思想道德与法治,3,必修,思想道德与法治（2023年版）,本书编写组,2023年版,高等教育出版社,,公共课已匹配
化学学院,应用化学,1,,外语类课程,,必修类别,新视野大学英语（第三版·读写教程）,郑树棠,第3版,外语教学与研究出版社,,公共课已匹配
化学学院,应用化学,1,,体育类课程,,必修类别,大学体育（教材）,本校编,最新版,校本教材,,公共课已匹配
化学学院,应用化学,第1学期,9093009774,大学生创新创业基础,1,必修,大学生创新创业基础,本校编,最新版,高等教育出版社,,公共课已匹配
化学学院,应用化学,第1学期,9093009904,军事理论,2,必修,军事理论课教程,教育部军委国防动员部,2023版,高等教育出版社,,公共课已匹配
化学学院,应用化学,第1学期,9093009905,军事技能,2,必修,军事训练教程,教育部军委国防动员部,2023版,高等教育出版社,,公共课已匹配
化学学院,应用化学,第1学期,3143009104,形势与政策（一）,1,必修,形势与政策（最新版）,教育部组编,每年更新,高等教育出版社,,公共课已匹配
化学学院,应用化学,第1学期,310300001018,微积分B（1）,4,必修,高等数学（第七版·上/下册）,同济大学数学系,第7版,高等教育出版社,,公共课已匹配
化学学院,应用化学,第1学期,310300007063,普通化学,4,必修,普通化学（第二版）,浙江大学普通化学教研组,第2版,高等教育出版社,,公共课已匹配
化学学院,应用化学,第1学期,310300009017,基础化学实验,2,必修,,,,,,待查教学大纲（专业课）
化学学院,应用化学,第1学期,307300007045,工程基础,1,必修,,,,,,待查教学大纲（专业课）
化学学院,应用化学,第1学期,310300007002,专业导论及新生研讨课,1,必修,,,,,,待查教学大纲（专业课）
化学学院,应用化学,第1学期,310300007022,化学实验安全,1,必修,,,,,,待查教学大纲（专业课）
化学学院,应用化学,第2学期,3143009003,中国近现代史纲要,3,必修,中国近现代史纲要（2023年版）,本书编写组,2023年版,高等教育出版社,,公共课已匹配
化学学院,应用化学,第2学期,317300001008,人工智能应用基础,2,必修,人工智能基础（通识）,大学计算机课程教指委,最新版,高等教育出版社,,公共课已匹配
化学学院,应用化学,第2学期,317300001009,人工智能应用基础实验,1,必修,人工智能基础（通识）,大学计算机课程教指委,最新版,高等教育出版社,,公共课已匹配
化学学院,应用化学,2,,外语类课程,,必修类别,新视野大学英语（第三版·读写教程）,郑树棠,第3版,外语教学与研究出版社,,公共课已匹配
化学学院,应用化学,2,,体育类课程,,必修类别,大学体育（教材）,本校编,最新版,校本教材,,公共课已匹配
化学学院,应用化学,第2学期,3113009824,写作与沟通,1,必修,写作与沟通,马工程/本校编,最新版,高等教育出版社,,公共课已匹配
化学学院,应用化学,第2学期,310300001033,微积分B（2）,4,必修,高等数学（第七版·上/下册）,同济大学数学系,第7版,高等教育出版社,,公共课已匹配
化学学院,应用化学,第2学期,310300001024,线性代数A,3,必修,线性代数（第六版）,同济大学数学系,第6版,高等教育出版社,9787040396632,公共课已匹配
化学学院,应用化学,第2学期,310300007074,无机化学,2,必修,无机化学（第四版）,大连理工大学无机化学教研室,第4版,高等教育出版社,,公共课已匹配
化学学院,应用化学,第2学期,310300007037,有机化学（1）,3,必修,有机化学（农科类 第三版）,汪小兰,第3版,高等教育出版社,,公共课已匹配
化学学院,应用化学,第2学期,310300009020,合成化学实验（1）,2,必修,,,,,,待查教学大纲（专业课）
化学学院,应用化学,第2学期,202300006005,大学生心理发展与指导,1,必修,大学生心理健康教育,郑日昌,最新版,高等教育出版社,,公共课已匹配
化学学院,应用化学,第3学期,314300001007,马克思主义基本原理概论,3,必修,马克思主义基本原理（2023年版）,本书编写组,2023年版,高等教育出版社,,公共课已匹配
化学学院,应用化学,3,,外语类课程,,必修类别,新视野大学英语（第三版·读写教程）,郑树棠,第3版,外语教学与研究出版社,,公共课已匹配
化学学院,应用化学,3,,体育类课程,,必修类别,大学体育（教材）,本校编,最新版,校本教材,,公共课已匹配
化学学院,应用化学,第3学期,310300001022,概率论与数理统计B,3,必修,概率论与数理统计（第五版）,盛骤 谢式千,第5版,高等教育出版社,9787040384876,公共课已匹配
化学学院,应用化学,第3学期,310300008003,劳动实践与耕读教育,2,必修,,,,,,待查教学大纲（专业课）
化学学院,应用化学,第3学期,310300007065,化学生物学,3,必修,,,,,,待查教学大纲（专业课）
化学学院,应用化学,第3学期,310300001028,大学物理B,4,必修,物理学（第七版）,马文蔚,第7版,高等教育出版社,,公共课已匹配
化学学院,应用化学,第3学期,310300001031,大学物理实验,1,必修,物理学（第七版）,马文蔚,第7版,高等教育出版社,,公共课已匹配
化学学院,应用化学,第3学期,310300007045,有机化学（2）,3,必修,有机化学（农科类 第三版）,汪小兰,第3版,高等教育出版社,,公共课已匹配
化学学院,应用化学,第3学期,310300009021,合成化学实验（2）,2,必修,,,,,,待查教学大纲（专业课）
化学学院,应用化学,3,,通识课程选修,,选修类别,,,,,,待查教学大纲（专业课）
化学学院,应用化学,第4学期,314300001008,3社会主义理论体系概论,3,必修,,,,,,待查教学大纲（专业课）
化学学院,应用化学,第4学期,314300001009,3社会主义思想概论,3,必修,,,,,,待查教学大纲（专业课）
化学学院,应用化学,4,,外语类课程,,必修类别,新视野大学英语（第三版·读写教程）,郑树棠,第3版,外语教学与研究出版社,,公共课已匹配
化学学院,应用化学,4,,体育类课程,,必修类别,大学体育（教材）,本校编,最新版,校本教材,,公共课已匹配
化学学院,应用化学,第4学期,3103009243,仪器分析,3,必修,,,,,,待查教学大纲（专业课）
化学学院,应用化学,第4学期,310300009010,仪器分析实验,2,必修,,,,,,待查教学大纲（专业课）
化学学院,应用化学,第4学期,3103009209,分析化学,3,必修,,,,,,待查教学大纲（专业课）
化学学院,应用化学,第4学期,310300009022,分析化学实验,1,必修,,,,,,待查教学大纲（专业课）
化学学院,应用化学,第4学期,9093009903,社会实践,1,必修,,,,,,待查教学大纲（专业课）
化学学院,应用化学,4,,通识课程选修,,选修类别,,,,,,待查教学大纲（专业课）
化学学院,应用化学,第5学期,310300007067,物理化学,6,必修,,,,,,待查教学大纲（专业课）
化学学院,应用化学,第5学期,310300009009,物理化学实验,3,必修,,,,,,待查教学大纲（专业课）
化学学院,应用化学,第5学期,310300001047,人工智能化学,2,必修,,,,,,待查教学大纲（专业课）
化学学院,应用化学,第5学期,3103009921,化学综合实习,2,必修,,,,,,待查教学大纲（专业课）
化学学院,应用化学,5,,通识课程选修,,选修类别,,,,,,待查教学大纲（专业课）
化学学院,应用化学,第6学期,310300007039,结构化学,3,必修,,,,,,待查教学大纲（专业课）
化学学院,应用化学,第6学期,3103009924,化学研究性实验,2,必修,,,,,,待查教学大纲（专业课）
化学学院,应用化学,第6学期,3103009901,毕业实习,2,必修,,,,,,待查教学大纲（专业课）
化学学院,应用化学,第6学期,9093009906,创新创业实践,1,必修,,,,,,待查教学大纲（专业课）
化学学院,应用化学,第6学期,3143009105,形势与政策（二）,1,必修,形势与政策（最新版）,教育部组编,每年更新,高等教育出版社,,公共课已匹配
化学学院,应用化学,6,,通识课程选修,,选修类别,,,,,,待查教学大纲（专业课）
化学学院,应用化学,第7学期,3103009400,综合化学实验,2,必修,,,,,,待查教学大纲（专业课）
化学学院,应用化学,第8学期,3103009902,毕业论文（设计）,6,必修,,,,,,待查教学大纲（专业课）
文法学院,法学,第1学期,314300001006,思想道德与法治,3,必修,思想道德与法治（2023年版）,本书编写组,2023年版,高等教育出版社,,公共课已匹配
文法学院,法学,第1学期,3143009104,形势与政策（一）,1,必修,形势与政策（最新版）,教育部组编,每年更新,高等教育出版社,,公共课已匹配
文法学院,法学,1,,体育类课程,,必修类别,大学体育（教材）,本校编,最新版,校本教材,,公共课已匹配
文法学院,法学,1,,外语类课程,,必修类别,新视野大学英语（第三版·读写教程）,郑树棠,第3版,外语教学与研究出版社,,公共课已匹配
文法学院,法学,第1学期,310300001020,微积分D,4,必修,高等数学（第七版·上/下册）,同济大学数学系,第7版,高等教育出版社,,公共课已匹配
文法学院,法学,第1学期,317300001008,人工智能应用基础,2,必修,人工智能基础（通识）,大学计算机课程教指委,最新版,高等教育出版社,,公共课已匹配
文法学院,法学,第1学期,317300001009,人工智能应用基础实验,1,必修,人工智能基础（通识）,大学计算机课程教指委,最新版,高等教育出版社,,公共课已匹配
文法学院,法学,第1学期,3113009824,写作与沟通,1,必修,写作与沟通,马工程/本校编,最新版,高等教育出版社,,公共课已匹配
文法学院,法学,第1学期,202300006005,大学生心理发展与指导,1,必修,大学生心理健康教育,郑日昌,最新版,高等教育出版社,,公共课已匹配
文法学院,法学,第1学期,202300008001,大学生心理素质拓展,1,必修,大学生心理健康教育,郑日昌,最新版,高等教育出版社,,公共课已匹配
文法学院,法学,第1学期,9093009905,军事技能,2,必修,军事训练教程,教育部军委国防动员部,2023版,高等教育出版社,,公共课已匹配
文法学院,法学,第1学期,311300007001,法理学,3,必修,,,,,,待查教学大纲（专业课）
文法学院,法学,第1学期,311300007144,社会学导论,3,必修,,,,,,待查教学大纲（专业课）
文法学院,法学,第2学期,3143009003,中国近现代史纲要,3,必修,中国近现代史纲要（2023年版）,本书编写组,2023年版,高等教育出版社,,公共课已匹配
文法学院,法学,第2学期,9093009904,军事理论,2,必修,军事理论课教程,教育部军委国防动员部,2023版,高等教育出版社,,公共课已匹配
文法学院,法学,2,,体育类课程,,必修类别,大学体育（教材）,本校编,最新版,校本教材,,公共课已匹配
文法学院,法学,2,,外语类课程,,必修类别,新视野大学英语（第三版·读写教程）,郑树棠,第3版,外语教学与研究出版社,,公共课已匹配
文法学院,法学,第2学期,307300007045,工程基础,1,必修,,,,,,待查教学大纲（专业课）
文法学院,法学,第2学期,9093009774,大学生创新创业基础,1,必修,大学生创新创业基础,本校编,最新版,高等教育出版社,,公共课已匹配
文法学院,法学,第2学期,311300007154,中国法律史,2,必修,,,,,,待查教学大纲（专业课）
文法学院,法学,第2学期,311300007063,刑法总论,3,必修,,,,,,待查教学大纲（专业课）
文法学院,法学,第2学期,3113009220,宪法学,3,必修,,,,,,待查教学大纲（专业课）
文法学院,法学,第2学期,311300007064,民法总论,4,必修,,,,,,待查教学大纲（专业课）
文法学院,法学,2,,通识课程,,选修类别,,,,,,待查教学大纲（专业课）
文法学院,法学,第3学期,314300001007,马克思主义基本原理,3,必修,马克思主义基本原理（2023年版）,本书编写组,2023年版,高等教育出版社,,公共课已匹配
文法学院,法学,3,,体育类课程,,必修类别,大学体育（教材）,本校编,最新版,校本教材,,公共课已匹配
文法学院,法学,3,,外语类课程,,必修类别,新视野大学英语（第三版·读写教程）,郑树棠,第3版,外语教学与研究出版社,,公共课已匹配
文法学院,法学,第3学期,311300007014,习近平法治思想概论,2,必修,,,,,,待查教学大纲（专业课）
文法学院,法学,第3学期,311300007065,刑事诉讼法,3,必修,,,,,,待查教学大纲（专业课）
文法学院,法学,第3学期,311300007152,民事诉讼法,4,必修,,,,,,待查教学大纲（专业课）
文法学院,法学,第3学期,311300007067,刑法分论,3,必修,,,,,,待查教学大纲（专业课）
文法学院,法学,第3学期,314300006006,西方哲学导论,2,必修,,,,,,待查教学大纲（专业课）
文法学院,法学,3,,通识课程,,选修类别,,,,,,待查教学大纲（专业课）
文法学院,法学,第4学期,3143009002,毛泽东思想和中国特色3社会主义理论体系概论,3,必修,毛泽东思想和中国特色社会主义理论体系概论（2023年版）,本书编写组,2023年版,高等教育出版社,,公共课已匹配
文法学院,法学,第4学期,314300001009,习近平新时代中国特色3社会主义思想概论,3,必修,习近平新时代中国特色社会主义思想概论（2023年版）,本书编写组,2023年版,高等教育出版社,,公共课已匹配
文法学院,法学,4,,体育类课程,,必修类别,大学体育（教材）,本校编,最新版,校本教材,,公共课已匹配
文法学院,法学,4,,外语类课程,,必修类别,新视野大学英语（第三版·读写教程）,郑树棠,第3版,外语教学与研究出版社,,公共课已匹配
文法学院,法学,第4学期,9093009903,社会实践,1,必修,,,,,,待查教学大纲（专业课）
文法学院,法学,第4学期,311300007235,法律职业伦理,1,必修,,,,,,待查教学大纲（专业课）
文法学院,法学,第4学期,3113009257,国际法,3,必修,,,,,,待查教学大纲（专业课）
